,election_year,pc_name,pc_no,electors,male_electors,female_electors,votes_polled,male_voters,female_voters,votes_polled_percentage
211,1977,Hamirpur,4,524805,260103,264702,323501,159985,163516,61.6
212,1977,Hamirpur,60,549096,283773,265323,317289,188166,129123,57.8
213,1977,Hanamkonda,38,615143,313774,301369,403940,216769,187171,65.7
214,1977,Hapur,79,631729,347669,284060,432445,242702,189743,68.5
215,1977,Hardoi,19,595289,317351,277938,310249,211764,98485,52.1
216,1977,Hardwar,85,554184,277265,276919,363336,192589,170747,65.6
217,1977,Hassan,19,619773,316038,303735,429300,233973,195327,69.3
218,1977,Hathras,75,648461,356750,291711,401699,220975,180724,62.0
219,1977,Hazaribagh,48,618989,323577,295412,295432,194625,100807,47.7
220,1977,Hindupur,24,650347,330773,319574,402073,225804,176269,61.8
221,1977,Hingoli,29,596387,295126,301261,322463,183175,139288,54.1
222,1977,Hissar,9,553756,294140,259616,409400,226847,182553,73.9
223,1977,Hooghly,27,560707,293756,266951,367205,218139,149066,65.5
224,1977,Hoshangabad,29,561979,287666,274313,327492,191861,135631,58.3
225,1977,Hoshiarpur,6,626330,335077,291253,427246,222724,204522,68.2
226,1977,Howrah,24,669642,361846,307796,389263,248897,140366,58.1
227,1977,Hyderabad,30,586201,301960,284241,351047,188752,162295,59.9
228,1977,Ichalkaranji,47,575336,284233,291103,399422,207189,192233,69.4
229,1977,Idukki,14,578434,299631,278803,426869,222348,204521,73.8
230,1977,Indore,37,560665,293426,267239,363014,201905,161109,64.8
231,1977,Inner Manipur,1,407918,205473,202445,251631,107416,144215,61.7
232,1977,Jabalpur,25,587198,303401,283797,341316,196996,144320,58.1
233,1977,Jadavpur,18,624264,384469,239795,356636,221183,135453,57.1
234,1977,Jagatsinghpur,7,654214,342983,311231,410182,223684,186498,62.7
235,1977,Jahanabad,41,751428,408595,342833,499226,270617,228609,66.4
236,1977,Jaipur,6,610124,306326,303798,357974,201448,156526,58.7
237,1977,Jajpur,4,611181,328162,283019,316767,186673,130094,51.8
238,1977,Jalaun,62,602642,314753,287889,375548,221404,154144,62.3
239,1977,Jalesar,70,576262,308246,268016,370895,248666,122229,64.4
240,1977,Jalgaon,17,589742,297104,292638,362064,195033,167031,61.4
241,1977,Jalna,32,615197,306661,308536,326829,177905,148924,53.1
242,1977,Jalore,22,648497,328443,320054,299420,176880,122540,46.2
243,1977,Jalpaiguri,3,529606,282311,247295,315866,187835,128031,59.6
244,1977,Jammu,6,601007,321681,279326,355660,207245,148415,59.2
245,1977,Jamnagar,3,479585,240644,238941,251803,137257,114546,52.5
246,1977,Jamshedpur,50,575923,306946,268977,269834,174423,95411,46.9
247,1977,Jangipur,8,565255,285699,279556,328222,176959,151263,58.1
248,1977,Janjgir,14,581342,280854,300488,258652,149422,109230,44.5
249,1977,Jaunpur,48,616192,315911,300281,340943,190115,150828,55.3
250,1977,Jhabua,39,518465,259371,259094,267704,149090,118614,51.6
251,1977,Jhalawar,15,549344,280378,268966,343827,205197,138630,62.6
252,1977,Jhanjharpur,14,629783,318253,311530,470515,285088,185427,74.7
253,1977,Jhansi,61,633446,325838,307608,351040,208022,143018,55.4
254,1977,Jhargram,33,575907,301363,274544,358585,199334,159251,62.3
255,1977,Jhunjhunu,4,681587,355014,326573,368888,197093,171795,54.1
256,1977,Jodhpur,24,610912,314340,296572,352632,197747,154885,57.7
257,1977,Jorhat,12,585721,322354,263367,311008,173006,138002,53.1
258,1977,Joynagar,15,626050,336659,289391,380213,235830,144383,60.7
259,1977,Jullundur,4,592262,310738,281524,427902,225356,202546,72.3
260,1977,Junagadh,6,516292,260332,255960,335230,181190,154040,64.9
261,1977,Kaira,19,573138,291049,282089,404195,223401,180794,70.5
262,1977,Kairana,83,570885,322326,248559,381053,222867,158186,66.8
